regime,M,seed,fold,n_train_groups,n_test_groups,balanced_acc,balanced_acc_3class,bal_acc_c2_vs_c3,mid_k_frac,abs_r_c1,abs_r_c2,abs_r_c3,abs_r_c4,ablation_acc_drop,confusion_flat,kbin_importance_flat,runtime_sec
per_sightline,1,46,1,52428,13108,0.2927982911199267,0.15349404943545927,0.14998474214220325,0.19076176160953734,0.07354428652369618,0.02448648932747226,0.024579174889480828,0.20482916282403757,-0.0030515715593530945,"0.160513,0.460482,0.267013,0.111993,0.460177,0.115349,0.318279,0.106195,0.306378,0.349100,0.184620,0.159902,0.101617,0.078425,0.109246,0.710711","0.050143,0.000000,0.048767,0.048514,0.047271,0.045963,0.045090,0.044403,0.044747,0.045098,0.045226,0.045931,0.048769,0.050835,0.052456,0.057525,0.060983,0.066025,0.077713,0.074541",12.258273601531982
per_sightline,1,46,2,52429,13107,0.2877413778199558,0.14566168243311972,0.14296612755569119,0.19058299434668624,0.061875355698013,0.01250817334030684,0.016274240360009847,0.1696692410469111,-0.01235853879277743,"0.151053,0.470552,0.263045,0.115349,0.467806,0.111993,0.309124,0.111077,0.314617,0.357339,0.173940,0.154104,0.098596,0.082418,0.105006,0.713980","0.050385,0.000000,0.049147,0.048726,0.047085,0.045686,0.045325,0.044455,0.044274,0.044781,0.045355,0.046414,0.048169,0.050644,0.051916,0.057315,0.062122,0.066117,0.076948,0.075133",12.21329665184021
per_sightline,1,46,3,52429,13107,0.2862508024813487,0.14822251235128867,0.13917844353456194,0.19052409722553476,0.0822794723305193,0.06450832611989532,0.0006766794400750952,0.16587951545330104,-0.006026690818421054,"0.166311,0.472688,0.262130,0.098871,0.477571,0.102838,0.317974,0.101617,0.322039,0.356838,0.175519,0.145604,0.102533,0.081172,0.115960,0.700336","0.050069,0.000000,0.049079,0.048712,0.046934,0.045617,0.045579,0.044359,0.044785,0.045153,0.045145,0.045919,0.048637,0.050823,0.052677,0.056735,0.060703,0.067043,0.076642,0.075388",12.006427764892578
per_sightline,1,46,4,52429,13107,0.2928079087867004,0.1552360968747908,0.15214007756729758,0.1902105527936833,0.08875906539356303,0.004595770232714286,0.013234536949465605,0.13997061609649483,-0.00366151327396369,"0.161428,0.459262,0.274336,0.104974,0.456960,0.126068,0.314713,0.102259,0.313091,0.358560,0.178212,0.150137,0.100702,0.078120,0.115655,0.705523","0.050875,0.000000,0.049052,0.048678,0.047061,0.045553,0.045284,0.044531,0.044364,0.044837,0.044880,0.046129,0.048676,0.050526,0.052353,0.057366,0.060747,0.067285,0.076269,0.075534",12.156416177749634
per_sightline,1,46,5,52429,13107,0.29769398624296395,0.16185258586845405,0.15639304241684468,0.1898399785221319,0.09205013247060609,0.0017268204151620777,0.0236888570105939,0.20832308972169764,-0.004730518100216019,"0.172772,0.455128,0.268926,0.103175,0.453464,0.133354,0.317669,0.095514,0.319194,0.364663,0.179432,0.136710,0.102533,0.085139,0.107110,0.705218","0.050080,0.000000,0.048939,0.048847,0.046744,0.045713,0.045558,0.044529,0.044683,0.045084,0.045285,0.046327,0.047994,0.050235,0.051974,0.056971,0.062293,0.066054,0.077134,0.075558",12.367507219314575
per_sightline,1,47,1,52428,13108,0.28669514800122065,0.14749262536873156,0.14525480622520598,0.19023425426865498,0.08432266099761132,0.06752328543947564,0.004287437426403503,0.2171357932561496,-0.008849557522123908,"0.151968,0.472078,0.262435,0.113518,0.471163,0.109857,0.313091,0.105890,0.323467,0.347269,0.180653,0.148612,0.115349,0.076289,0.104059,0.704303","0.050881,0.000000,0.049087,0.048922,0.046758,0.045724,0.044884,0.044528,0.044256,0.044753,0.045244,0.045876,0.048648,0.050466,0.052306,0.059494,0.062048,0.063097,0.077543,0.075485",12.267276287078857
per_sightline,1,47,2,52429,13107,0.2918608597011099,0.15176482555182583,0.14433933475740007,0.1892895746552577,0.08019550867239314,0.004046461340219643,0.03492843954883788,0.14135273738810006,-0.0035851075483361305,"0.166616,0.458346,0.267318,0.107720,0.486726,0.113518,0.303021,0.096735,0.324992,0.356118,0.175160,0.143729,0.111111,0.077534,0.099206,0.712149","0.049886,0.000000,0.049071,0.048927,0.046808,0.045744,0.045097,0.044650,0.044326,0.044551,0.045047,0.045401,0.048706,0.050136,0.052129,0.059047,0.062143,0.064716,0.078119,0.075497",12.324933052062988
per_sightline,1,47,3,52429,13107,0.2965511140099178,0.15758234182097472,0.1526078734272204,0.19078613033035782,0.0474394350862102,0.0010280189984586874,0.006542150655170065,0.18047665344909894,0.0011444324840724218,"0.167531,0.456515,0.271895,0.104059,0.466280,0.113213,0.315838,0.104669,0.300977,0.351648,0.192002,0.155372,0.092157,0.081172,0.113213,0.713457","0.050373,0.000000,0.049005,0.048749,0.047303,0.046251,0.045307,0.044624,0.043940,0.044812,0.045230,0.046084,0.048740,0.050732,0.051901,0.058928,0.061683,0.063039,0.078113,0.075187",12.140455961227417
per_sightline,1,47,4,52429,13107,0.2923497538808799,0.15452350461505177,0.15488565362688037,0.19026755271097778,0.0938058552707549,0.019803703455519454,0.03953878138228777,0.16637179836056423,-0.0022134838849822147,"0.153799,0.481233,0.258773,0.106195,0.456044,0.120574,0.319597,0.103785,0.310040,0.350320,0.189197,0.150442,0.098871,0.083003,0.112298,0.705829","0.050138,0.000000,0.049105,0.048748,0.047076,0.045493,0.045124,0.044762,0.044547,0.044740,0.044967,0.045937,0.048872,0.050491,0.051923,0.059516,0.062402,0.063273,0.078975,0.073910",12.206372499465942
per_sightline,1,47,5,52429,13107,0.29586332275529714,0.15707216302272756,0.14739090631675314,0.19100638016130084,0.09312101018377841,0.043163784098217556,0.00719760858684798,0.184494582175578,-0.004119947627729159,"0.176435,0.457570,0.258547,0.107448,0.468111,0.116875,0.300275,0.114739,0.309735,0.361001,0.177907,0.151358,0.094904,0.080256,0.112603,0.712237","0.050173,0.000000,0.048986,0.048991,0.047004,0.045917,0.045415,0.044645,0.044394,0.044854,0.045503,0.046178,0.048960,0.050365,0.052243,0.058899,0.061743,0.063013,0.078077,0.074638",12.19291067123413
