feedback_class,class_name,depth_1_minus_f,y_median,y_p25,y_p75
4,WindStrongAGN,0.3461540629778841,0.09021413271482079,0.07036122141967721,0.12281123536907232
4,WindStrongAGN,0.37179508011600626,0.09698900477846888,0.0756962866207182,0.13451437382208956
4,WindStrongAGN,0.39743609725412854,0.10754337512655787,0.08386481133653963,0.14478075654263062
4,WindStrongAGN,0.4230771143922507,0.11505603147937829,0.08936301773780106,0.15923715569801666
4,WindStrongAGN,0.448718131530373,0.11964349706335717,0.09448288907140184,0.16454581180230404
4,WindStrongAGN,0.47435914866849516,0.12797293945464688,0.10176434667546516,0.1785364928765099
4,WindStrongAGN,0.5000001658066174,0.13922252828120973,0.11177603132553476,0.18612762535551872
4,WindStrongAGN,0.5256411829447396,0.15317879921493777,0.1192740853382427,0.19991710474265126
4,WindStrongAGN,0.5512822000828619,0.1573423305661102,0.1256705404537833,0.2146396419472622
4,WindStrongAGN,0.5769232172209842,0.17567123110295527,0.13602360869122282,0.2225310530693983
4,WindStrongAGN,0.6025642343591063,0.18254805544294656,0.1465604501075893,0.23696165720502416
4,WindStrongAGN,0.6282052514972285,0.19599725235307283,0.15147449543843575,0.2543595674797268
4,WindStrongAGN,0.6538462686353508,0.19573132652140418,0.1599116595999841,0.2543542842071395
4,WindStrongAGN,0.6794872857734731,0.21205349603216989,0.17706409274882154,0.28389737402197324
4,WindStrongAGN,0.7051283029115952,0.223299652354135,0.17975650589767228,0.2811941046840025
4,WindStrongAGN,0.7307693200497174,0.24141974894367502,0.18989809209702607,0.30096664977416115
4,WindStrongAGN,0.7564103371878397,0.25328825149704415,0.20261967015133014,0.3159723832630898
4,WindStrongAGN,0.782051354325962,0.26581272567252534,0.21584176743798195,0.33685769341396754
4,WindStrongAGN,0.8076923714640841,0.27470099410052384,0.22390281244800533,0.3346255698290458
4,WindStrongAGN,0.8333333886022064,0.2876791783022425,0.24097857342557602,0.3608787101106353
4,WindStrongAGN,0.8589744057403286,0.3057126480031067,0.24789746115362493,0.38491288784040373
4,WindStrongAGN,0.8846154228784509,0.32250302795209584,0.2748771978989148,0.38802095104807216
4,WindStrongAGN,0.9102564400165731,0.35667810542080336,0.2900123066166935,0.42962484609818513
