M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
256,0.05,44,3,51,13,0.5476190476190476,0.21364617347717285
256,0.05,44,4,51,13,0.6309523809523809,0.21250247955322266
256,0.05,44,5,52,12,0.5,0.20797967910766602
256,0.1,44,1,51,13,0.5595238095238095,0.2194983959197998
256,0.1,44,2,51,13,0.5238095238095238,0.21377992630004883
256,0.1,44,3,51,13,0.7023809523809523,0.20913410186767578
256,0.1,44,4,51,13,0.6309523809523809,0.21253108978271484
256,0.1,44,5,52,12,0.41666666666666663,0.2193431854248047
256,0.2,44,1,51,13,0.7857142857142857,0.20544028282165527
256,0.2,44,2,51,13,0.7023809523809523,0.19726228713989258
256,0.2,44,3,51,13,0.7619047619047619,0.22383689880371094
256,0.2,44,4,51,13,0.8452380952380952,0.19575905799865723
256,0.2,44,5,52,12,0.6666666666666667,0.21677708625793457
256,0.5,44,1,51,13,0.8571428571428572,0.19779634475708008
256,0.5,44,2,51,13,0.8452380952380952,0.19819903373718262
256,0.5,44,3,51,13,1.0,0.2288820743560791
256,0.5,44,4,51,13,0.9285714285714286,0.19987916946411133
256,0.5,44,5,52,12,0.9166666666666667,0.1977701187133789
256,1.0,44,1,51,13,1.0,0.1994035243988037
256,1.0,44,2,51,13,1.0,0.20269370079040527
256,1.0,44,3,51,13,1.0,0.1965489387512207
256,1.0,44,4,51,13,1.0,0.2032625675201416
256,1.0,44,5,52,12,1.0,0.19623708724975586
64,0.0,45,1,204,52,0.4615384615384615,0.21616291999816895
64,0.0,45,2,205,51,0.5276923076923077,0.21866226196289062
64,0.0,45,3,205,51,0.5684615384615385,0.2200000286102295
64,0.0,45,4,205,51,0.4915384615384616,0.2333672046661377
64,0.0,45,5,205,51,0.5669230769230769,0.23613643646240234
64,0.01,45,1,204,52,0.6923076923076923,0.21588349342346191
64,0.01,45,2,205,51,0.7238461538461538,0.23109006881713867
64,0.01,45,3,205,51,0.6853846153846154,0.2185678482055664
64,0.01,45,4,205,51,0.6884615384615385,0.21995782852172852
64,0.01,45,5,205,51,0.7446153846153847,0.21834850311279297
64,0.02,45,1,204,52,0.75,0.22052311897277832
64,0.02,45,2,205,51,0.7246153846153847,0.23375201225280762
64,0.02,45,3,205,51,0.7630769230769231,0.21070361137390137
64,0.02,45,4,205,51,0.726923076923077,0.21431708335876465
64,0.02,45,5,205,51,0.7646153846153847,0.2171921730041504
64,0.05,45,1,204,52,0.6923076923076923,0.22198152542114258
64,0.05,45,2,205,51,0.8423076923076923,0.21138286590576172
64,0.05,45,3,205,51,0.8415384615384616,0.23034334182739258
64,0.05,45,4,205,51,0.7661538461538462,0.22072529792785645
64,0.05,45,5,205,51,0.8046153846153846,0.2195749282836914
64,0.1,45,1,204,52,0.7692307692307692,0.21961617469787598
64,0.1,45,2,205,51,0.8815384615384616,0.21147489547729492
64,0.1,45,3,205,51,0.8415384615384616,0.21141743659973145
64,0.1,45,4,205,51,0.7861538461538462,0.21765518188476562
64,0.1,45,5,205,51,0.8246153846153846,0.21382737159729004
64,0.2,45,1,204,52,0.8076923076923077,0.21057581901550293
64,0.2,45,2,205,51,0.9215384615384616,0.21979856491088867
