regime,M,pair,seed,fold,n_train_groups,n_test_groups,balanced_acc,exploratory_flag,runtime_sec
per_sightline,1,C1-C2,47,3,26214,6554,0.28928898382667073,0,3.9264636039733887
per_sightline,1,C1-C2,47,4,26215,6553,0.2873454699438831,0,4.028147459030151
per_sightline,1,C1-C2,47,5,26215,6553,0.2957483765005889,0,4.0095884799957275
per_sightline,1,C1-C3,47,1,26214,6554,0.4160817821177907,0,2.8808939456939697
per_sightline,1,C1-C3,47,2,26214,6554,0.41730241074153185,0,2.941159248352051
per_sightline,1,C1-C3,47,3,26214,6554,0.4058590173939579,0,2.8812406063079834
per_sightline,1,C1-C3,47,4,26215,6553,0.4158374048898919,0,3.007769823074341
per_sightline,1,C1-C3,47,5,26215,6553,0.4187458059520922,0,2.9420700073242188
per_sightline,1,C1-C4,47,1,26214,6554,0.7888312480927677,0,2.2772085666656494
per_sightline,1,C1-C4,47,2,26214,6554,0.7923405553860238,0,2.3177332878112793
per_sightline,1,C1-C4,47,3,26214,6554,0.7911199267622826,0,2.3327741622924805
per_sightline,1,C1-C4,47,4,26215,6553,0.7971882320371793,0,2.296731472015381
per_sightline,1,C1-C4,47,5,26215,6553,0.7921616155519116,0,2.3786418437957764
per_sightline,1,C2-C3,47,1,26214,6554,0.3535245651510528,0,2.7562520503997803
per_sightline,1,C2-C3,47,2,26214,6554,0.359169972535856,0,2.865877628326416
per_sightline,1,C2-C3,47,3,26214,6554,0.3623741226731767,0,2.8470959663391113
per_sightline,1,C2-C3,47,4,26215,6553,0.36212592632336305,0,2.820784091949463
per_sightline,1,C2-C3,47,5,26215,6553,0.3577003557931236,0,2.786250352859497
per_sightline,1,C2-C4,47,1,26214,6554,0.7824229478181264,0,2.256622076034546
per_sightline,1,C2-C4,47,2,26214,6554,0.7841013121757705,0,2.204077959060669
per_sightline,1,C2-C4,47,3,26214,6554,0.7851693622215441,0,2.287832736968994
per_sightline,1,C2-C4,47,4,26215,6553,0.7834541107351605,0,2.179877996444702
per_sightline,1,C2-C4,47,5,26215,6553,0.7823958413674617,0,2.256852388381958
per_sightline,1,C3-C4,47,1,26214,6554,0.767165090021361,0,2.2170538902282715
per_sightline,1,C3-C4,47,2,26214,6554,0.7696063472688435,0,2.1915953159332275
per_sightline,1,C3-C4,47,3,26214,6554,0.766249618553555,0,2.2315633296966553
per_sightline,1,C3-C4,47,4,26215,6553,0.7723132663627018,0,2.268061637878418
