M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,C2-C4,fbar,43,1,26214,6554,0.579646017699115,1.0467169284820557
1,C2-C4,fbar,43,2,26214,6554,0.5691180958193469,1.0942590236663818
1,C2-C4,fbar,43,3,26214,6554,0.5752212389380531,1.1130568981170654
1,C2-C4,fbar,43,4,26215,6553,0.5617280949139356,1.0591442584991455
1,C2-C4,fbar,43,5,26215,6553,0.5606594393976145,1.0594937801361084
1,C3-C4,fbar,43,1,26214,6554,0.5694232529752823,1.0614700317382812
1,C3-C4,fbar,43,2,26214,6554,0.561641745498932,1.0466041564941406
1,C3-C4,fbar,43,3,26214,6554,0.5732377174244736,1.036233901977539
1,C3-C4,fbar,43,4,26215,6553,0.5623377571806012,1.0403637886047363
1,C3-C4,fbar,43,5,26215,6553,0.567069043762666,1.0368902683258057
1,C4-rest,fbar,43,1,52428,13108,0.5617943240768997,2.2611937522888184
1,C4-rest,fbar,43,2,52429,13107,0.5621505270574542,2.3396806716918945
1,C4-rest,fbar,43,3,52429,13107,0.5583247834486236,2.362103223800659
1,C4-rest,fbar,43,4,52429,13107,0.565038597878925,2.4304208755493164
1,C4-rest,fbar,43,5,52429,13107,0.5564939802085561,2.3799798488616943
1,4class,fbar,43,1,52428,13108,0.27548062252059813,2.5434975624084473
1,4class,fbar,43,2,52429,13107,0.28420359012363894,2.592970848083496
1,4class,fbar,43,3,52429,13107,0.2796960947708583,2.574824094772339
1,4class,fbar,43,4,52429,13107,0.2771027479793119,2.581651449203491
1,4class,fbar,43,5,52429,13107,0.2792379165777091,2.5544111728668213
1,C1-C2,fbar_var,43,1,26214,6554,0.5019835215135795,1.3532099723815918
1,C1-C2,fbar_var,43,2,26214,6554,0.4989319499542264,1.26790189743042
1,C1-C2,fbar_var,43,3,26214,6554,0.5024412572474825,1.2580194473266602
1,C1-C2,fbar_var,43,4,26215,6553,0.5048049211155711,1.2918732166290283
1,C1-C2,fbar_var,43,5,26215,6553,0.49672044549218797,1.339970588684082
1,C1-C3,fbar_var,43,1,26214,6554,0.5170888007323772,1.097994089126587
1,C1-C3,fbar_var,43,2,26214,6554,0.5053402502288679,1.1195063591003418
1,C1-C3,fbar_var,43,3,26214,6554,0.510527921879768,1.0919804573059082
1,C1-C3,fbar_var,43,4,26215,6553,0.5089259865350801,1.094231367111206
1,C1-C3,fbar_var,43,5,26215,6553,0.498246277846522,1.096376657485962
1,C1-C4,fbar_var,43,1,26214,6554,0.637320720170888,0.8126068115234375
1,C1-C4,fbar_var,43,2,26214,6554,0.6277082697589258,0.7869901657104492
1,C1-C4,fbar_var,43,3,26214,6554,0.6454073848031736,0.8149487972259521
1,C1-C4,fbar_var,43,4,26215,6553,0.6291762098139883,0.8412542343139648
1,C1-C4,fbar_var,43,5,26215,6553,0.6355896798756122,0.8335847854614258
1,C2-C3,fbar_var,43,1,26214,6554,0.4996948428440647,1.0794692039489746
1,C2-C3,fbar_var,43,2,26214,6554,0.503967043027159,1.1365814208984375
1,C2-C3,fbar_var,43,3,26214,6554,0.4996948428440647,1.0680773258209229
1,C2-C3,fbar_var,43,4,26215,6553,0.5025158232741388,1.1306841373443604
1,C2-C3,fbar_var,43,5,26215,6553,0.5051143165653389,1.1197483539581299
1,C2-C4,fbar_var,43,1,26214,6554,0.6351846200793408,0.8202173709869385
1,C2-C4,fbar_var,43,2,26214,6554,0.6275556911809582,0.8139574527740479
1,C2-C4,fbar_var,43,3,26214,6554,0.637778455904791,0.8318719863891602
1,C2-C4,fbar_var,43,4,26215,6553,0.6403140268337095,0.8277683258056641
1,C2-C4,fbar_var,43,5,26215,6553,0.6403199883898694,0.8031482696533203
1,C3-C4,fbar_var,43,1,26214,6554,0.6464754348489472,0.7631886005401611
1,C3-C4,fbar_var,43,2,26214,6554,0.6582239853524565,0.7847957611083984
1,C3-C4,fbar_var,43,3,26214,6554,0.6666158071406774,0.7709405422210693
1,C3-C4,fbar_var,43,4,26215,6553,0.6511508318420128,0.7693789005279541
1,C3-C4,fbar_var,43,5,26215,6553,0.6549684167932566,0.8127033710479736
1,C4-rest,fbar_var,43,1,52428,13108,0.6104160309225918,1.6723484992980957
1,C4-rest,fbar_var,43,2,52429,13107,0.6110755746474391,1.6924290657043457
1,C4-rest,fbar_var,43,3,52429,13107,0.6111735791643785,1.6964778900146484
1,C4-rest,fbar_var,43,4,52429,13107,0.6102584646962972,1.6788198947906494
1,C4-rest,fbar_var,43,5,52429,13107,0.6101054049447876,1.638859510421753
1,4class,fbar_var,43,1,52428,13108,0.3158376563930424,1.982511281967163
