pixel,wavelength_angstrom,flux,absorption
164,1582.6523683181106,0.998102287726145,0.0018977122738550456
165,1582.6662884036582,0.998210887351955,0.0017891126480450437
166,1582.6802086116404,0.9983404862209462,0.0016595137790538228
167,1582.694128942055,0.9984885084128468,0.0015114915871532464
168,1582.7080493949045,0.9986451343831912,0.0013548656168087536
169,1582.7219699701905,0.998797029128363,0.0012029708716370102
170,1582.735890667915,0.9989315458356318,0.0010684541643681822
171,1582.7498114880766,0.9990398048575321,0.0009601951424679234
172,1582.7637324306772,0.9991180226318868,0.0008819773681132403
173,1582.7776534957202,0.9991672849635966,0.0008327150364033642
174,1582.791574683203,0.9991925826079059,0.0008074173920941119
175,1582.8054959931285,0.999201685646953,0.0007983143530470027
176,1582.8194174254977,0.9992040016871717,0.0007959983128282833
177,1582.8333389803133,0.9992087508222405,0.0007912491777595232
178,1582.847260657573,0.9992224031441671,0.0007775968558328961
179,1582.8611824572797,0.9992470466600374,0.0007529533399626143
180,1582.8751043794362,0.9992807409588528,0.0007192590411472244
181,1582.8890264240401,0.9993193527549988,0.0006806472450011647
182,1582.9029485910942,0.9993585288365622,0.0006414711634378234
183,1582.9168708805994,0.9993947464331674,0.0006052535668326087
184,1582.9307932925585,0.9994253159710482,0.0005746840289517774
185,1582.9447158269695,0.9994482053091751,0.0005517946908248916
186,1582.958638483835,0.9994624114659945,0.0005375885340055397
187,1582.9725612631578,0.9994676054611317,0.0005323945388683304
188,1582.9864841649355,0.9994640275265764,0.0005359724734236293
189,1583.0004071891708,0.9994527699671251,0.0005472300328749347
190,1583.014330335865,0.9994354076020093,0.0005645923979906708
191,1583.0282536050206,0.9994139265644343,0.0005860734355657149
192,1583.0421769966356,0.9993905365981564,0.0006094634018436462
193,1583.0561005107127,0.9993674475853465,0.0006325524146535422
194,1583.0700241472543,0.9993467245669884,0.0006532754330116353
195,1583.0839479062586,0.9993301959840186,0.000669804015981379
196,1583.097871787728,0.9993190974559686,0.0006809025440314143
197,1583.111795791664,0.9993136759267127,0.0006863240732872811
198,1583.1257199180689,0.9993132060555971,0.0006867939444028526
199,1583.1396441669406,0.9993164001325361,0.0006835998674639132
200,1583.153568538282,0.9993219173883544,0.0006780826116455918
201,1583.1674930320953,0.9993286884220915,0.0006713115779084511
202,1583.181417648379,0.9993356151134263,0.0006643848865737212
203,1583.1953423871353,0.9993410535907353,0.0006589464092646713
204,1583.2092672483657,0.9993428570112108,0.0006571429887891611
205,1583.2231922320725,0.9993391546861781,0.0006608453138219339
206,1583.2371173382537,0.9993289309455995,0.0006710690544005082
207,1583.251042566912,0.9993121492919862,0.0006878507080138041
208,1583.2649679180502,0.9992895103852095,0.0007104896147904771
209,1583.278893391666,0.9992622443406083,0.0007377556593917145
210,1583.292818987762,0.9992319302137959,0.0007680697862041397
211,1583.3067447063413,0.9992002432074593,0.0007997567925407401
212,1583.3206705474013,0.9991690065287531,0.0008309934712469325
213,1583.3345965109447,0.999140598449127,0.0008594015508730513
214,1583.348522596973,0.9991182890729164,0.0008817109270835566
215,1583.3624488054884,0.9991056389458579,0.0008943610541420899
216,1583.376375136489,0.9991051088578217,0.0008948911421783334
217,1583.3903015899778,0.9991167381999208,0.0008832618000792491
218,1583.404228165957,0.9991378093466091,0.0008621906533908819
219,1583.4181548644244,0.9991638223445691,0.0008361776554308697
220,1583.432081685383,0.9991901301446884,0.0008098698553116179
221,1583.4460086288339,0.9992131271414104,0.0007868728585895823
222,1583.4599356947797,0.9992305631562757,0.0007694368437243249
223,1583.473862883218,0.9992415279097063,0.0007584720902936715
224,1583.4877901941518,0.9992465814661937,0.0007534185338062827
225,1583.5017176275837,0.9992478510604594,0.0007521489395405645
226,1583.5156451835117,0.9992486457160958,0.0007513542839041598
227,1583.5295728619383,0.9992526328247068,0.0007473671752932232
228,1583.5435006628645,0.9992627683400495,0.0007372316599505435
229,1583.557428586293,0.999280235995885,0.0007197640041149977
230,1583.5713566322222,0.9993038988573871,0.0006961011426128705
231,1583.585284800654,0.9993309355521305,0.0006690644478695162
232,1583.5992130915915,0.9993581370404023,0.0006418629595976721
233,1583.6131415050327,0.9993827069879618,0.000617293012038167
234,1583.6270700409798,0.999402296277766,0.0005977037222339998
235,1583.6409986994342,0.9994151445340528,0.0005848554659472205
236,1583.6549274803988,0.9994208203230115,0.000579179676988506
237,1583.668856383871,0.9994207040211265,0.0005792959788735175
238,1583.6827854098538,0.9994180190148181,0.000581980985181918
239,1583.6967145583496,0.999417291761208,0.000582708238792029
240,1583.7106438293565,0.9994233173842937,0.0005766826157063143
241,1583.7245732228773,0.9994395354434138,0.0005604645565862043
242,1583.7385027389128,0.999466351212523,0.0005336487874769702
243,1583.7524323774658,0.9995007159167095,0.0004992840832904744
244,1583.766362138534,0.9995374365725064,0.000462563427493623
245,1583.7802920221204,0.9995708978767808,0.00042910212321922714
246,1583.7942220282278,0.9995967459887007,0.00040325401129925886
247,1583.8081521568533,0.999612304302504,0.0003876956974959711
248,1583.8220824080004,0.9996169298018531,0.00038307019814687315
249,1583.8360127816698,0.9996107120389928,0.0003892879610072342
250,1583.849943277864,0.9995952048314352,0.0004047951685648421
251,1583.8638738965813,0.9995732064366731,0.000426793563326866
252,1583.877804637824,0.9995496112841198,0.00045038871588021223
253,1583.8917355015951,0.9995303947604628,0.00046960523953720745
254,1583.9056664878924,0.9995205859913847,0.0004794140086152865
255,1583.9195975967186,0.9995219189277946,0.0004780810722053719
256,1583.9335288280745,0.9995322428920331,0.00046775710796687076
257,1583.947460181963,0.9995469129992479,0.00045308700075208375
258,1583.961391658382,0.9995607176638726,0.0004392823361274445
259,1583.9753232573341,0.9995693583487972,0.00043064165120276776
260,1583.989254978822,0.9995698603975078,0.0004301396024921633
261,1584.0031868228436,0.999560398231434,0.0004396017685659448
262,1584.0171187894016,0.9995398212044067,0.00046017879559334673
263,1584.031050878497,0.9995075289889767,0.0004924710110233432
264,1584.0449830901325,0.9994646504890353,0.0005353495109646778
265,1584.058915424306,0.9994143716654871,0.0005856283345129221
266,1584.0728478810202,0.9993620614785665,0.0006379385214334565
267,1584.0867804602776,0.9993138972682705,0.0006861027317295321
268,1584.1007131620763,0.9992749581854691,0.0007250418145309245
269,1584.114645986419,0.9992469364795207,0.0007530635204793246
270,1584.1285789333067,0.9992268347068765,0.0007731652931235455
271,1584.1425120027418,0.9992080483871604,0.0007919516128396253
272,1584.1564451947227,0.9991831447392815,0.0008168552607185076
273,1584.1703785092518,0.9991460783889675,0.0008539216110324821
274,1584.1843119463317,0.9990930611844029,0.0009069388155971136
275,1584.1982455059604,0.9990225517733543,0.000977448226645694
276,1584.2121791881407,0.9989348102869223,0.0010651897130776744
277,1584.2261129928734,0.9988320065149103,0.001167993485089669
278,1584.2400469201611,0.998718607705154,0.0012813922948460288
279,1584.2539809700022,0.9986008370411349,0.0013991629588651078
280,1584.2679151423988,0.9984846806609206,0.0015153193390794462
281,1584.2818494373541,0.9983733608613767,0.0016266391386232648
282,1584.2957838548655,0.9982653294625159,0.0017346705374841065
283,1584.309718394936,0.9981532700386662,0.0018467299613338373
284,1584.3236530575666,0.9980250832064899,0.0019749167935101397
285,1584.3375878427598,0.9978674540138305,0.0021325459861695206
286,1584.3515227505138,0.9976698431441281,0.002330156855871901
287,1584.365457780831,0.9974264817123039,0.0025735182876961415
288,1584.3793929337144,0.9971375610437564,0.002862438956243607
289,1584.3933282091614,0.9968110928849689,0.003188907115031059
290,1584.407263607175,0.9964631891850109,0.003536810814989133
291,1584.4211991277564,0.9961140803761525,0.0038859196238475446
292,1584.435134770908,0.9957820594199737,0.004217940580026336
293,1584.4490705366277,0.9954800498322884,0.004519950167711562
294,1584.4630064249181,0.9952159708366964,0.00478402916330356
295,1584.4769424357823,0.9949945354568257,0.005005464543174298
296,1584.4908785692178,0.9948183811106756,0.005181618889324446
297,1584.5048148252274,0.9946873333784316,0.005312666621568374
298,1584.5187512038121,0.9945947528863355,0.005405247113664524
299,1584.532687704975,0.9945224910375303,0.005477508962469679
300,1584.5466243287133,0.9944397616606955,0.005560238339304524
301,1584.56056107503,0.994309811910621,0.005690188089379045
302,1584.5744979439278,0.9941021005336426,0.005897899466357437
303,1584.5884349354046,0.9938045383056173,0.006195461694382676
304,1584.602372049463,0.9934311058820408,0.006568894117959245
305,1584.616309286104,0.9930197391929358,0.006980260807064154
306,1584.6302466453305,0.9926167713764952,0.007383228623504823
307,1584.6441841271403,0.9922532781285085,0.007746721871491502
308,1584.658121731536,0.9919284240177113,0.008071575982288692
309,1584.6720594585204,0.9916128674037333,0.008387132596266667
310,1584.6859973080914,0.9912718056845118,0.008728194315488214
311,1584.6999352802513,0.9908940043270835,0.009105995672916478
312,1584.7138733750016,0.9905092884454444,0.009490711554555609
313,1584.7278115923448,0.9901833476770224,0.00981665232297757
314,1584.741749932279,0.9899910536118284,0.010008946388171625
315,1584.7556883948064,0.9899813249938282,0.010018675006171818
316,1584.76962697993,0.9901512514831057,0.009848748516894323
317,1584.783565687648,0.9904422362678537,0.00955776373214634
318,1584.7975045179624,0.9907595676296654,0.009240432370334561
319,1584.8114434708748,0.9910051158386263,0.008994884161373728
320,1584.8253825463876,0.991107727693578,0.008892272306421978
321,1584.8393217444986,0.9910412530024227,0.00895874699757726
322,1584.853261065211,0.9908297932572603,0.009170206742739717
323,1584.8672005085268,0.990542268535044,0.009457731464955987
324,1584.8811400744444,0.990274487082007,0.009725512917992951
325,1584.8950797629661,0.9901200591932786,0.009879940806721388
